constructor,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_drivers
alfa,1983,1,jacarepagua,False,False,True,False,False,baldi,Italian,10,21,0,0,0,0,0,0,0,0,0,1.454,29,,1
arrows,1983,1,jacarepagua,False,False,True,False,False,serra,Brazilian,23,8,0,0,0,0,0,0,0,0,0,5.292999999999999,26,0.0,1
arrows,1983,1,jacarepagua,False,False,True,False,False,surer,Swiss,20,5,0,0,0,0,0,0,0,0,0,3.7960000000000003,31,,1
ats,1983,1,jacarepagua,False,False,True,False,False,manfred_winkelhock,German,25,14,0,0,0,0,0,0,0,0,0,6.481,31,,1
brabham,1983,1,jacarepagua,False,False,True,False,False,patrese,Italian,7,23,0,0,0,0,0,0,0,0,0,1.286,28,,1
brabham,1983,1,jacarepagua,False,False,True,False,False,piquet,Brazilian,4,1,0,0,0,0,0,0,0,0,0,0.442,30,0.5,1
ferrari,1983,1,jacarepagua,False,False,True,False,False,arnoux,French,6,9,0,0,0,0,0,0,0,0,0,0.875,34,0.0,1
ferrari,1983,1,jacarepagua,False,False,True,False,False,tambay,French,3,4,0,0,0,0,0,0,0,0,0,0.086,33,0.0,1
ligier,1983,1,jacarepagua,False,False,True,False,False,boesel,Brazilian,17,20,0,0,0,0,0,0,0,0,0,3.057,25,0.0,1
ligier,1983,1,jacarepagua,False,False,True,False,False,jarier,French,12,22,0,0,0,0,0,0,0,0,0,1.7209999999999999,36,0.0,1
mclaren,1983,1,jacarepagua,False,False,True,False,False,lauda,Austrian,9,2,0,0,0,0,0,0,0,0,0,1.382,34,,1
mclaren,1983,1,jacarepagua,False,False,True,False,False,watson,British,16,19,0,0,0,0,0,0,0,0,0,2.305,36,0.0,1
osella,1983,1,jacarepagua,False,False,True,False,False,corrado_fabi,Italian,24,24,0,0,0,0,0,0,0,0,0,5.6370000000000005,21,,1
ram,1983,1,jacarepagua,False,False,True,False,False,salazar,Chilean,26,13,0,0,0,0,0,0,0,0,0,6.806,28,,1
renault,1983,1,jacarepagua,False,False,True,False,False,cheever,American,8,18,0,0,0,0,0,0,0,0,0,1.379,25,,1
renault,1983,1,jacarepagua,False,False,True,False,False,prost,French,2,6,0,0,0,0,0,0,0,0,0,0.0,28,0.0,1
team_lotus,1983,1,jacarepagua,False,False,True,False,False,mansell,British,22,11,0,0,0,0,0,0,0,0,0,4.482,29,0.0,1
theodore,1983,1,jacarepagua,False,False,True,False,False,cecotto,Venezuelan,19,12,0,0,0,0,0,0,0,0,0,3.7060000000000004,27,,1
theodore,1983,1,jacarepagua,False,False,True,False,False,guerrero,Colombian,14,17,0,0,0,0,0,0,0,0,0,2.022,24,,1
toleman,1983,1,jacarepagua,False,False,True,False,False,giacomelli,Italian,15,25,0,0,0,0,0,0,0,0,0,2.075,30,,1
toleman,1983,1,jacarepagua,False,False,True,False,False,warwick,British,5,7,0,0,0,0,0,0,0,0,0,0.534,28,0.0,1
tyrrell,1983,1,jacarepagua,False,False,True,False,False,alboreto,Italian,11,26,0,0,0,0,0,0,0,0,0,1.619,26,,1
tyrrell,1983,1,jacarepagua,False,False,True,False,False,sullivan,American,21,10,0,0,0,0,0,0,0,0,0,4.013999999999999,33,,1
williams,1983,1,jacarepagua,False,False,True,False,False,laffite,French,18,3,0,0,0,0,0,0,0,0,0,3.562,39,0.0,1
alfa,1983,2,long_beach,True,False,False,False,False,baldi,Italian,21,21,0,0,19,0,0,0,0,0,14,3.9530000000000003,29,,0
alfa,1983,2,long_beach,True,False,False,False,False,cesaris,Italian,19,16,0,0,25,0,0,0,0,0,14,3.486,23,,1
arrows,1983,2,long_beach,True,False,False,False,False,jones,Australian,12,14,0,0,0,0,0,0,1,0,5,2.995,36,,1
arrows,1983,2,long_beach,True,False,False,False,False,surer,Swiss,16,5,1,0,5,0,0,0,1,0,5,3.404,31,,0
ats,1983,2,long_beach,True,False,False,False,False,manfred_winkelhock,German,24,26,0,0,14,0,0,0,0,0,12,4.103,31,,0
brabham,1983,2,long_beach,True,False,False,False,False,patrese,Italian,11,10,0,0,21,0,0,0,9,1,1,2.841,28,,0
brabham,1983,2,long_beach,True,False,False,False,False,piquet,Brazilian,20,15,9,1,1,0,0,0,9,1,1,3.917,30,,0
ferrari,1983,2,long_beach,True,False,False,False,False,arnoux,French,2,3,0,0,9,0,0,0,2,0,4,0.818,34,,0
ferrari,1983,2,long_beach,True,False,False,False,False,tambay,French,1,22,2,0,4,0,0,0,2,0,4,0.0,33,,0
ligier,1983,2,long_beach,True,False,False,False,False,boesel,Brazilian,26,7,0,0,18,0,0,0,0,0,13,5.642,25,,0
ligier,1983,2,long_beach,True,False,False,False,False,jarier,French,10,19,0,0,20,0,0,0,0,0,13,2.7960000000000003,36,,0
