driver,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_teams
baldi,1983,1,jacarepagua,False,False,True,False,False,Italian,alfa,10,21,0,0,0,0,0,0,0,0,0,1.454,29,,1
serra,1983,1,jacarepagua,False,False,True,False,False,Brazilian,arrows,23,8,0,0,0,0,0,0,0,0,0,5.292999999999999,26,0.0,1
surer,1983,1,jacarepagua,False,False,True,False,False,Swiss,arrows,20,5,0,0,0,0,0,0,0,0,0,3.7960000000000003,31,,1
manfred_winkelhock,1983,1,jacarepagua,False,False,True,False,False,German,ats,25,14,0,0,0,0,0,0,0,0,0,6.481,31,,1
patrese,1983,1,jacarepagua,False,False,True,False,False,Italian,brabham,7,23,0,0,0,0,0,0,0,0,0,1.286,28,,1
piquet,1983,1,jacarepagua,False,False,True,False,False,Brazilian,brabham,4,1,0,0,0,0,0,0,0,0,0,0.442,30,0.5,1
arnoux,1983,1,jacarepagua,False,False,True,False,False,French,ferrari,6,9,0,0,0,0,0,0,0,0,0,0.875,34,0.0,1
tambay,1983,1,jacarepagua,False,False,True,False,False,French,ferrari,3,4,0,0,0,0,0,0,0,0,0,0.086,33,0.0,1
boesel,1983,1,jacarepagua,False,False,True,False,False,Brazilian,ligier,17,20,0,0,0,0,0,0,0,0,0,3.057,25,0.0,1
jarier,1983,1,jacarepagua,False,False,True,False,False,French,ligier,12,22,0,0,0,0,0,0,0,0,0,1.7209999999999999,36,0.0,1
lauda,1983,1,jacarepagua,False,False,True,False,False,Austrian,mclaren,9,2,0,0,0,0,0,0,0,0,0,1.382,34,,1
watson,1983,1,jacarepagua,False,False,True,False,False,British,mclaren,16,19,0,0,0,0,0,0,0,0,0,2.305,36,0.0,1
corrado_fabi,1983,1,jacarepagua,False,False,True,False,False,Italian,osella,24,24,0,0,0,0,0,0,0,0,0,5.6370000000000005,21,,1
salazar,1983,1,jacarepagua,False,False,True,False,False,Chilean,ram,26,13,0,0,0,0,0,0,0,0,0,6.806,28,,1
cheever,1983,1,jacarepagua,False,False,True,False,False,American,renault,8,18,0,0,0,0,0,0,0,0,0,1.379,25,,1
prost,1983,1,jacarepagua,False,False,True,False,False,French,renault,2,6,0,0,0,0,0,0,0,0,0,0.0,28,0.0,1
mansell,1983,1,jacarepagua,False,False,True,False,False,British,team_lotus,22,11,0,0,0,0,0,0,0,0,0,4.482,29,0.0,1
cecotto,1983,1,jacarepagua,False,False,True,False,False,Venezuelan,theodore,19,12,0,0,0,0,0,0,0,0,0,3.7060000000000004,27,,1
guerrero,1983,1,jacarepagua,False,False,True,False,False,Colombian,theodore,14,17,0,0,0,0,0,0,0,0,0,2.022,24,,1
giacomelli,1983,1,jacarepagua,False,False,True,False,False,Italian,toleman,15,25,0,0,0,0,0,0,0,0,0,2.075,30,,1
warwick,1983,1,jacarepagua,False,False,True,False,False,British,toleman,5,7,0,0,0,0,0,0,0,0,0,0.534,28,0.0,1
alboreto,1983,1,jacarepagua,False,False,True,False,False,Italian,tyrrell,11,26,0,0,0,0,0,0,0,0,0,1.619,26,,1
