season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,prost,French,renault,2,6,0,0,0,0,0,0,0,0,0,0,28,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,tambay,French,ferrari,3,4,0,0,0,0,0,0,0,0,0,0.086,33,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,piquet,Brazilian,brabham,4,1,0,0,0,0,0,0,0,0,0,0.442,30,0.5
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,warwick,British,toleman,5,7,0,0,0,0,0,0,0,0,0,0.534,28,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,arnoux,French,ferrari,6,9,0,0,0,0,0,0,0,0,0,0.875,34,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,patrese,Italian,brabham,7,23,0,0,0,0,0,0,0,0,0,1.286,28,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,cheever,American,renault,8,18,0,0,0,0,0,0,0,0,0,1.379,25,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,lauda,Austrian,mclaren,9,2,0,0,0,0,0,0,0,0,0,1.382,34,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,baldi,Italian,alfa,10,21,0,0,0,0,0,0,0,0,0,1.454,29,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,alboreto,Italian,tyrrell,11,26,0,0,0,0,0,0,0,0,0,1.619,26,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,jarier,French,ligier,12,22,0,0,0,0,0,0,0,0,0,1.721,36,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,guerrero,Colombian,theodore,14,17,0,0,0,0,0,0,0,0,0,2.022,24,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,giacomelli,Italian,toleman,15,25,0,0,0,0,0,0,0,0,0,2.075,30,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,watson,British,mclaren,16,19,0,0,0,0,0,0,0,0,0,2.305,36,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,boesel,Brazilian,ligier,17,20,0,0,0,0,0,0,0,0,0,3.057,25,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,laffite,French,williams,18,3,0,0,0,0,0,0,0,0,0,3.562,39,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,cecotto,Venezuelan,theodore,19,12,0,0,0,0,0,0,0,0,0,3.706,27,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,surer,Swiss,arrows,20,5,0,0,0,0,0,0,0,0,0,3.796,31,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,sullivan,American,tyrrell,21,10,0,0,0,0,0,0,0,0,0,4.014,33,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,mansell,British,team_lotus,22,11,0,0,0,0,0,0,0,0,0,4.482,29,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,serra,Brazilian,arrows,23,8,0,0,0,0,0,0,0,0,0,5.293,26,0
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,corrado_fabi,Italian,osella,24,24,0,0,0,0,0,0,0,0,0,5.637,21,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,manfred_winkelhock,German,ats,25,14,0,0,0,0,0,0,0,0,0,6.481,31,
1983,1,jacarepagua,FALSE,FALSE,TRUE,FALSE,FALSE,salazar,Chilean,ram,26,13,0,0,0,0,0,0,0,0,0,6.806,28,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,tambay,French,ferrari,1,22,2,0,4,0,0,0,2,0,4,0,33,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,arnoux,French,ferrari,2,3,0,0,9,0,0,0,2,0,4,0.818,34,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,keke_rosberg,Finnish,williams,3,23,0,0,0,0,0,0,3,0,3,1.028,34,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,laffite,French,williams,4,4,3,0,3,0,0,0,3,0,3,1.701,39,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,angelis,Italian,team_lotus,5,17,0,0,0,0,0,0,0,0,9,1.865,25,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,warwick,British,toleman,6,25,0,0,7,0,0,0,0,0,7,2.013,28,0
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,alboreto,Italian,tyrrell,7,9,0,0,24,0,0,0,0,0,8,2.308,26,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,prost,French,renault,8,11,0,0,6,0,0,0,0,0,6,2.441,28,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,sullivan,American,tyrrell,9,8,0,0,10,0,0,0,0,0,8,2.716,33,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,jarier,French,ligier,10,19,0,0,20,0,0,0,0,0,13,2.796,36,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,patrese,Italian,brabham,11,10,0,0,21,0,0,0,9,1,1,2.841,28,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,jones,Australian,arrows,12,14,0,0,0,0,0,0,1,0,5,2.995,36,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,mansell,British,team_lotus,13,12,0,0,11,0,0,0,0,0,9,3.05,29,0
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,giacomelli,Italian,toleman,14,20,0,0,23,0,0,0,0,0,7,3.149,30,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,cheever,American,renault,15,13,0,0,16,0,0,0,0,0,6,3.305,25,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,surer,Swiss,arrows,16,5,1,0,5,0,0,0,1,0,5,3.404,31,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,cecotto,Venezuelan,theodore,17,6,0,0,12,0,0,0,0,0,10,3.442,27,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,guerrero,Colombian,theodore,18,18,0,0,15,0,0,0,0,0,10,3.468,24,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,cesaris,Italian,alfa,19,16,0,0,25,0,0,0,0,0,14,3.486,23,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,piquet,Brazilian,brabham,20,15,9,1,1,0,0,0,9,1,1,3.917,30,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,baldi,Italian,alfa,21,21,0,0,19,0,0,0,0,0,14,3.953,29,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,watson,British,mclaren,22,1,0,0,17,0,0,0,4,0,2,3.983,36,1
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,lauda,Austrian,mclaren,23,2,4,0,2,0,0,0,4,0,2,4.071,34,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,manfred_winkelhock,German,ats,24,26,0,0,14,0,0,0,0,0,12,4.103,31,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,salazar,Chilean,ram,25,24,0,0,13,0,0,0,0,0,11,5.009,28,
1983,2,long_beach,TRUE,FALSE,FALSE,FALSE,FALSE,boesel,Brazilian,ligier,26,7,0,0,18,0,0,0,0,0,13,5.642,25,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,prost,French,renault,1,1,0,0,9,0,0,6,0,0,7,0,28,0.25
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,cheever,American,renault,2,3,0,0,17,0,0,16,0,0,7,2.308,25,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,patrese,Italian,brabham,3,23,0,0,15,0,0,21,9,1,2,2.432,29,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,arnoux,French,ferrari,4,7,4,0,5,0,0,9,6,0,3,2.443,34,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,angelis,Italian,team_lotus,5,22,0,0,23,0,0,0,0,0,11,2.64,25,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,piquet,Brazilian,brabham,6,2,9,1,2,9,1,1,9,1,2,2.929,30,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,cesaris,Italian,alfa,7,12,0,0,21,0,0,25,0,0,14,2.939,23,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,baldi,Italian,alfa,8,18,0,0,26,0,0,19,0,0,14,2.946,29,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,warwick,British,toleman,9,24,0,0,12,0,0,7,0,0,10,3.209,28,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,manfred_winkelhock,German,ats,10,16,0,0,19,0,0,14,0,0,13,3.561,31,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,tambay,French,ferrari,11,4,2,0,7,2,0,4,6,0,3,3.721,33,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,lauda,Austrian,mclaren,12,17,10,0,1,4,0,2,19,1,1,4.393,34,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,giacomelli,Italian,toleman,13,13,0,0,25,0,0,23,0,0,10,5.103,30,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,watson,British,mclaren,14,26,9,1,3,0,0,17,19,1,1,5.166,36,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,alboreto,Italian,tyrrell,15,8,0,0,13,0,0,24,0,0,9,5.505,26,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,keke_rosberg,Finnish,williams,16,5,0,0,27,0,0,0,6,0,4,5.778,34,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,cecotto,Venezuelan,theodore,17,11,1,0,8,0,0,12,1,0,6,5.943,27,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,mansell,British,team_lotus,18,25,0,0,16,0,0,11,0,0,11,5.978,29,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,laffite,French,williams,19,6,6,0,4,3,0,3,6,0,4,6.006,39,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,jarier,French,ligier,20,9,0,0,24,0,0,20,0,0,8,6.065,36,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,surer,Swiss,arrows,21,10,3,0,6,1,0,5,3,0,5,6.29,31,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,guerrero,Colombian,theodore,22,20,0,0,22,0,0,15,1,0,6,6.695,24,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,corrado_fabi,Italian,osella,23,15,0,0,28,0,0,22,0,0,15,6.739,22,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,sullivan,American,tyrrell,24,21,0,0,11,0,0,10,0,0,9,6.982,33,
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,boesel,Brazilian,ligier,25,14,0,0,10,0,0,18,0,0,8,7.798,25,0
1983,3,ricard,FALSE,FALSE,FALSE,FALSE,TRUE,serra,Brazilian,arrows,26,19,0,0,14,0,0,8,3,0,5,8.106,26,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,arnoux,French,ferrari,1,3,4,0,7,4,0,5,9,0,4,0,34,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,piquet,Brazilian,brabham,2,16,15,1,1,9,1,2,15,1,2,0.726,30,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,tambay,French,ferrari,3,1,5,0,6,2,0,7,9,0,4,0.729,33,0.25
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,prost,French,renault,4,2,9,1,3,0,0,9,13,1,3,0.9,28,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,patrese,Italian,brabham,5,13,0,0,18,0,0,15,15,1,2,1.731,29,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,cheever,American,renault,6,26,4,0,8,0,0,17,13,1,3,2.212,25,
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,manfred_winkelhock,German,ats,7,11,0,0,23,0,0,19,0,0,14,2.232,31,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,cesaris,Italian,alfa,8,14,0,0,20,0,0,21,0,0,12,2.29,23,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,angelis,Italian,team_lotus,9,15,0,0,27,0,0,23,0,0,11,3.094,25,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,baldi,Italian,alfa,10,10,0,0,28,0,0,26,0,0,12,3.762,29,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,keke_rosberg,Finnish,williams,11,4,2,0,10,0,0,27,9,0,5,3.848,34,
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,surer,Swiss,arrows,12,6,3,0,9,3,0,6,3,0,6,4.173,31,
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,alboreto,Italian,tyrrell,13,24,0,0,13,0,0,13,0,0,9,4.287,26,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,warwick,British,toleman,14,19,0,0,15,0,0,12,0,0,10,4.438,28,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,mansell,British,team_lotus,15,12,0,0,19,0,0,16,0,0,11,4.465,29,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,laffite,French,williams,16,7,7,0,5,6,0,4,9,0,5,4.469,39,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,giacomelli,Italian,toleman,17,21,0,0,21,0,0,25,0,0,10,4.731,30,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,lauda,Austrian,mclaren,18,22,10,0,2,10,0,1,19,1,1,4.861,34,
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,jarier,French,ligier,19,17,0,0,16,0,0,24,0,0,8,4.878,36,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,serra,Brazilian,arrows,20,8,0,0,17,0,0,14,3,0,6,5.02,26,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,guerrero,Colombian,theodore,21,25,0,0,26,0,0,22,1,0,7,5.086,24,
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,sullivan,American,tyrrell,22,18,0,0,14,0,0,11,0,0,9,5.121,33,
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,cecotto,Venezuelan,theodore,23,23,1,0,11,1,0,8,1,0,7,5.4,27,
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,watson,British,mclaren,24,5,9,1,4,9,1,3,19,1,1,5.414,36,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,boesel,Brazilian,ligier,25,9,0,0,12,0,0,10,0,0,8,6.084,25,0
1983,4,imola,FALSE,FALSE,FALSE,FALSE,FALSE,corrado_fabi,Italian,osella,26,20,0,0,25,0,0,28,0,0,15,6.473,22,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,prost,French,renault,1,3,15,1,1,9,1,3,19,1,3,0,28,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,arnoux,French,ferrari,2,16,8,0,6,4,0,7,22,1,1,0.342,34,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,cheever,American,renault,3,14,4,0,9,4,0,8,19,1,3,1.439,25,
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,tambay,French,ferrari,4,4,14,1,3,5,0,6,22,1,1,1.458,33,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,keke_rosberg,Finnish,williams,5,1,5,0,8,2,0,10,12,0,5,1.467,34,0.333333333
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,piquet,Brazilian,brabham,6,2,15,1,2,15,1,1,15,1,4,2.433,30,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,cesaris,Italian,alfa,7,15,0,0,22,0,0,20,0,0,11,2.84,23,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,laffite,French,williams,8,9,7,0,7,7,0,5,12,0,5,2.886,39,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,jarier,French,ligier,9,13,0,0,17,0,0,16,0,0,8,3.066,36,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,warwick,British,toleman,10,11,0,0,16,0,0,15,0,0,10,3.177,28,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,alboreto,Italian,tyrrell,11,19,0,0,14,0,0,13,0,0,9,3.416,26,0
1983,5,monaco,FALSE,FALSE,FALSE,TRUE,FALSE,surer,Swiss,arrows,12,10,4,0,10,3,0,9,4,0,6,3.506,31,
