season,circuit_id,level_2,podium
2012,hungaroring,grid,0.9373913043478261
2007,hungaroring,grid,0.922077922077922
1958,boavista,grid,0.9214285714285714
2010,bahrain,grid,0.9147826086956522
2010,hockenheimring,grid,0.9034782608695652
2016,monza,grid,0.8994918125352908
1998,hockenheimring,grid,0.8948051948051948
2016,rodriguez,grid,0.8927159796725014
2013,americas,grid,0.8870694522868436
2011,valencia,grid,0.8843478260869565
2016,suzuka,grid,0.8802936194240542
2008,magny_cours,grid,0.8751879699248121
2019,monaco,grid,0.8721804511278195
2009,suzuka,grid,0.8706766917293233
2014,catalunya,grid,0.8667419536984754
2008,istanbul,grid,0.8661654135338346
2016,silverstone,grid,0.8588368153585545
2007,bahrain,grid,0.8565782044042913
1995,okayama,grid,0.8530434782608696
2010,villeneuve,grid,0.8521739130434782
2019,ricard,grid,0.8511278195488722
1995,magny_cours,grid,0.8504347826086956
2013,monza,grid,0.8464144551101073
2007,spa,grid,0.8430265386787126
2015,red_bull_ring,grid,0.8421052631578947
2016,hockenheimring,grid,0.8407679277244494
2013,yas_marina,grid,0.8407679277244494
2003,monaco,grid,0.8406015037593985
2019,marina_bay,grid,0.8406015037593985
2011,marina_bay,grid,0.8391304347826087
2014,sochi,grid,0.8376623376623377
2018,villeneuve,grid,0.8360902255639098
1995,estoril,grid,0.8304347826086956
2009,silverstone,grid,0.8300751879699249
1957,nurburgring,grid,0.8295652173913044
2015,catalunya,grid,0.8285714285714286
1999,spa,grid,0.8272162619988707
2011,sepang,grid,0.8269565217391305
1965,zandvoort,grid,0.8259803921568627
2007,istanbul,grid,0.8226990400903444
2015,shanghai,grid,0.8225563909774436
2018,shanghai,grid,0.8195488721804511
2011,istanbul,grid,0.8139130434782609
2016,yas_marina,grid,0.8102766798418972
2006,imola,grid,0.8046301524562394
2009,catalunya,grid,0.8045112781954887
2019,hungaroring,grid,0.8030075187969925
2016,hungaroring,grid,0.8023715415019763
2004,hungaroring,grid,0.8015037593984963
2015,bahrain,grid,0.8
2018,ricard,grid,0.7969924812030075
2017,sochi,grid,0.7954887218045112
2011,suzuka,grid,0.7947826086956522
1997,monza,grid,0.7933370976849238
1998,nurburgring,grid,0.7899491812535291
2012,buddh,grid,0.7878260869565218
2010,shanghai,grid,0.7852173913043479
2004,magny_cours,grid,0.7834586466165413
2013,monaco,grid,0.7809147374364765
2007,monza,grid,0.7809147374364765
2016,shanghai,grid,0.7809147374364765
2005,silverstone,grid,0.7804511278195488
2017,monaco,grid,0.7789473684210526
2008,interlagos,grid,0.7789473684210526
2014,monza,grid,0.7775268210050819
2001,hungaroring,grid,0.7763975155279503
2019,catalunya,grid,0.7759398496240602
2010,interlagos,grid,0.7713043478260869
2007,magny_cours,grid,0.769621682665161
2015,rodriguez,grid,0.7684210526315789
2010,catalunya,grid,0.7626086956521739
2019,rodriguez,grid,0.762406015037594
2013,nurburgring,grid,0.7605872388481084
2008,bahrain,grid,0.7583286278938453
1999,monaco,grid,0.7583286278938453
2010,istanbul,grid,0.7582608695652174
2015,silverstone,grid,0.7578947368421053
2012,villeneuve,grid,0.7556521739130435
2002,hungaroring,grid,0.7548872180451128
2011,yeongam,grid,0.7547826086956522
2013,shanghai,grid,0.753811405985319
2006,silverstone,grid,0.753811405985319
2017,monza,grid,0.7533834586466165
2014,shanghai,grid,0.7515527950310559
2014,interlagos,grid,0.7481940144478845
2010,yas_marina,grid,0.7469565217391304
2012,silverstone,grid,0.7434782608695653
2015,yas_marina,grid,0.7428571428571429
